math_score,reading_score,writing_score,placement_score,club_join_year,placement_offer_count
63,78,67,88,2018,3
69,80,74,80,2019,2
66,80,76,89,2018,3
68,79,64,84,2018,2
75,77,71,95,2021,3
67,77,77,91,2021,3
60,74,75,80,2018,2
72,71,72,89,2020,3
63,80,67,85,2020,3
60,75,78,81,2019,2
76,83,78,92,2019,3
77,75,61,97,2019,3
76,81,60,80,2019,2
63,85,70,95,2021,3
62,81,61,86,2018,3
75,78,79,100,2021,3
64,79,76,97,2021,3
64,88,74,92,2018,3
79,73,70,94,2020,3
61,83,64,83,2018,2
63,76,74,80,2021,2
66,82,74,97,2018,3
66,88,77,88,2021,3
64,88,61,94,2019,3
77,90,62,87,2020,3
66,76,80,86,2019,3
65,76,71,100,2019,3
68,88,78,86,2019,3
75,76,77,99,2021,3
66,86,80,87,2019,3
